Min. Spraw Zewnętrznych	Ministerstwie Spraw Zewnętrznych
Min. Spr. Wewn.	Ministerstwie Spraw Wewnętrznych
Min. Sprawiedl.	Ministerstwie Sprawiedliwości
Min. Przem. i Handlu	Ministerstwie Przymysłu i Handlu
Min. Pracy i Op. Społ.	Ministerstwie Pracy i Opieki Społecznej
Min. Poczt i Telegr.	Ministerstwie Poczt i Telegrafów
Min. Kult. i Sztuki	Ministerstwie Kultury i Sztuki
Min. Kult, i Sztuki	Ministerstwie Kultury i Sztuki
Min. Skarbu	Ministerstwie Skarbu
Min. Aprowizacji	Ministerstwie Aprowizacji
Min. Zdrowia Publ.	Ministerstwie Zdrowia Publicznego
Min. Wyzn. Rel. i Ośw. Publ.	Ministerstwie Wyznań Religijnych i Oświecenia Publicznego
